ID,survey,tr_id,tr_num,length_m
1175,Doerun_NA,1.1,1,185
1176,Doerun_NA,2.1,2,798
1177,Doerun_NA,2.2,3,304
1178,Doerun_NA,3.1,4,446
1179,Doerun_NA,3.2,5,964
1180,Doerun_NA,3.3,6,419
1181,Doerun_NA,4.1,7,568
1182,Doerun_NA,4.2,8,346
1183,Doerun_NA,4.3,9,342
1184,Doerun_NA,4.4,10,21
1185,Doerun_NA,5.1,11,42
1186,Doerun_NA,5.2,12,520
1187,Doerun_NA,5.3,13,533
1188,Doerun_NA,5.4,14,241
1189,Doerun_NA,5.5,15,44
1190,Doerun_NA,6.1,16,177
1191,Doerun_NA,6.2,17,458
1192,Doerun_NA,6.3,18,508
1193,Doerun_NA,6.4,19,503
1194,Doerun_NA,7.1,20,227
1195,Doerun_NA,7.2,21,389
1196,Doerun_NA,7.3,22,573
1197,Doerun_NA,7.4,23,482
1198,Doerun_NA,8.1,24,288
1199,Doerun_NA,8.2,25,307
1200,Doerun_NA,8.3,26,596
1201,Doerun_NA,8.4,27,520
1202,Doerun_NA,9.1,28,347
1203,Doerun_NA,9.2,29,279
1204,Doerun_NA,9.3,30,862
1205,Doerun_NA,9.4,31,499
1206,Doerun_NA,10.1,32,397
1207,Doerun_NA,10.2,33,990
1208,Doerun_NA,10.3,34,495
1209,Doerun_NA,11.1,35,420
1210,Doerun_NA,11.2,36,575
1211,Doerun_NA,11.3,37,228
1212,Doerun_NA,11.4,38,496
1213,Doerun_NA,12.1,39,451
1214,Doerun_NA,12.2,40,551
1215,Doerun_NA,12.3,41,652
1216,Doerun_NA,13.1,42,435
1217,Doerun_NA,13.2,43,484
1218,Doerun_NA,13.3,44,232
1219,Doerun_NA,13.4,45,55
1220,Doerun_NA,14.1,46,140
1221,Doerun_NA,14.2,47,237
1222,Doerun_NA,14.3,48,166
1223,Doerun_NA,14.4,49,104
1224,Doerun_NA,15.1,50,200
1225,Doerun_NA,15.2,51,61
1226,Doerun_NA,15.3,52,146
1227,Doerun_NA,16.1,53,173
1228,Doerun_NA,16.2,54,71
1229,Doerun_NA,16.3,55,94
1230,Doerun_NA,17.1,56,150
1231,Doerun_NA,17.2,57,106
1232,Doerun_NA,17.3,58,86
1233,Doerun_NA,17.4,59,97
1234,Doerun_NA,18.1,60,171
1235,Doerun_NA,18.2,61,29
1236,Doerun_NA,18.3,62,132
1237,Doerun_NA,18.4,63,41
1238,Doerun_NA,19.1,64,335
1239,Doerun_NA,19.2,65,229
1240,Doerun_NA,20.1,66,368
1241,Doerun_NA,20.2,67,422
1242,Doerun_NA,21.1,68,385
1243,Doerun_NA,21.2,69,609
1244,Doerun_NA,22.1,70,118
1245,Doerun_NA,22.2,71,51
1246,Doerun_NA,22.3,72,73
1247,Doerun_NA,22.4,73,186
1248,Doerun_NA,22.5,74,709
1249,Doerun_NA,23.1,75,1103
1250,Doerun_NA,24.1,76,774
1251,Doerun_NA,24.2,77,219
1252,Doerun_NA,25.1,78,606
1253,Doerun_NA,26.1,79,447
2229,Holman,2a,1,108
2230,Holman,2b,2,384
2231,Holman,2c,3,148
2232,Holman,2d,4,124
2233,Holman,2e,5,294
2234,Holman,2f,6,465
2235,Holman,3a,7,286
2236,Holman,3b,8,239
2237,Holman,3c,9,358
2238,Holman,3d,10,367
2239,Holman,3e,11,422
2240,Holman,4a,12,480
2241,Holman,4b,13,1170
2242,Holman,4c,14,291
2243,Holman,5a,15,594
2244,Holman,5b,16,1061
2245,Holman,5c,17,254
2246,Holman,6a,18,635
2247,Holman,6b,19,978
2248,Holman,6c,20,204
2249,Holman,7a,21,546
2250,Holman,7b,22,888
2251,Holman,7c,23,171
2252,Holman,8a,24,243
2253,Holman,8b,25,586
2254,Holman,8c,26,111
2255,Holman,8d,27,77
2256,Holman,9a,28,167
2257,Holman,9b,29,533
2258,Holman,9c,30,32
2259,Holman,10a,31,161
2260,Holman,10b,32,320
2261,Holman,10c,33,381
2262,Holman,11a,34,30
2263,Holman,11b,35,244
2264,Holman,11c,36,513
2265,Holman,11d,37,169
2266,Holman,12a,38,573
2267,Holman,12b,39,94
2268,Holman,12c,40,595
2269,Holman,12d,41,150
2270,Holman,13a,42,659
2271,Holman,13b,43,259
2272,Holman,13c,44,76
2273,Holman,13d,45,282
2274,Holman,14a,46,1519
2275,Holman,14b,47,154
2276,Holman,15a,48,1487
2277,Holman,15b,49,158
2278,Holman,16a,50,1551
2279,Holman,17a,51,1771
2280,Holman,18a,52,1772
2281,Holman,19a,53,1780
2282,Holman,20a,54,1790
2283,Holman,21a,55,1870
2284,Holman,22a,56,1873
2285,Holman,23a,57,1875
2286,Holman,24a,58,1878
2287,Holman,25a,59,1882
2288,Holman,26a,60,1891
2289,Holman,27a,61,943
2290,Holman,27b,62,1829
2291,Holman,27c,63,514
2292,Holman,28a,64,2899
2293,Holman,28b,65,503
2294,Holman,29a,66,2908
2296,Holman,30a,68,3001
2297,Holman,30b,69,524
2298,Holman,31a,70,2972
2299,Holman,31b,71,530
2300,Holman,32a,72,2969
2301,Holman,32b,73,504
2302,Holman,33a,74,2974
2303,Holman,33b,75,514
2304,Holman,34a,76,3004
2305,Holman,34b,77,533
2306,Holman,35a,78,3633
2307,Holman,36a,79,3639
2308,Holman,37a,80,3625
2309,Holman,38a,81,3424
2310,Holman,39a,82,3415
2311,Holman,40a,83,616
4860,Sansavilla_WMA,0,1,347
4861,Sansavilla_WMA,1,2,273
4862,Sansavilla_WMA,2,3,269
4863,Sansavilla_WMA,3,4,48
4864,Sansavilla_WMA,4,5,130
4865,Sansavilla_WMA,5,6,24
4866,Sansavilla_WMA,6,7,95
4867,Sansavilla_WMA,7,8,64
4868,Sansavilla_WMA,8,9,49
4869,Sansavilla_WMA,9,10,128
4870,Sansavilla_WMA,10,11,136
4871,Sansavilla_WMA,11,12,85
4872,Sansavilla_WMA,12,13,178
4873,Sansavilla_WMA,13,14,258
4874,Sansavilla_WMA,14,15,315
4875,Sansavilla_WMA,15,16,132
4876,Sansavilla_WMA,16,17,259
4877,Sansavilla_WMA,17,18,309
4878,Sansavilla_WMA,18,19,432
4879,Sansavilla_WMA,19,20,484
4880,Sansavilla_WMA,20,21,261
4881,Sansavilla_WMA,21,22,262
4882,Sansavilla_WMA,22,23,226
4883,Sansavilla_WMA,23,24,217
4884,Sansavilla_WMA,24,25,263
4885,Sansavilla_WMA,25,26,159
4886,Sansavilla_WMA,26,27,500
4887,Sansavilla_WMA,27,28,870
4888,Sansavilla_WMA,28,29,889
4889,Sansavilla_WMA,29,30,214
4890,Sansavilla_WMA,30,31,412
4891,Sansavilla_WMA,31,32,463
4892,Sansavilla_WMA,32,33,383
4893,Sansavilla_WMA,33,34,337
4894,Sansavilla_WMA,34,35,120
4895,Sansavilla_WMA,35,36,414
4896,Sansavilla_WMA,36,37,225
4897,Sansavilla_WMA,37,38,330
4898,Sansavilla_WMA,38,39,344
4899,Sansavilla_WMA,39,40,306
4900,Sansavilla_WMA,40,41,709
4901,Sansavilla_WMA,41,42,181
4902,Sansavilla_WMA,42,43,48
4903,Sansavilla_WMA,43,44,106
4904,Sansavilla_WMA,44,45,95
4905,Sansavilla_WMA,45,46,199
4906,Sansavilla_WMA,46,47,264
4907,Sansavilla_WMA,47,48,316
4908,Sansavilla_WMA,48,49,117
4909,Sansavilla_WMA,49,50,133
4910,Sansavilla_WMA,50,51,271
4911,Sansavilla_WMA,51,52,261
4912,Sansavilla_WMA,52,53,120
4913,Sansavilla_WMA,53,54,72
4914,Sansavilla_WMA,54,55,34
4915,Sansavilla_WMA,55,56,58
4916,Sansavilla_WMA,56,57,63
4917,Sansavilla_WMA,57,58,213
4918,Sansavilla_WMA,58,59,68
4919,Sansavilla_WMA,59,60,197
4920,Sansavilla_WMA,60,61,173
4921,Sansavilla_WMA,61,62,83
4922,Sansavilla_WMA,62,63,679
4923,Sansavilla_WMA,63,64,260
4924,Sansavilla_WMA,64,65,357
4925,Sansavilla_WMA,65,66,16
4926,Sansavilla_WMA,66,67,56
4927,Sansavilla_WMA,67,68,180
4928,Sansavilla_WMA,68,69,529
4929,Sansavilla_WMA,69,70,134
4930,Sansavilla_WMA,70,71,958
4931,Sansavilla_WMA,71,72,571
4932,Sansavilla_WMA,72,73,75
4933,Sansavilla_WMA,73,74,67
4934,Sansavilla_WMA,74,75,120
4935,Sansavilla_WMA,75,76,79
4936,Sansavilla_WMA,76,77,128
4937,Sansavilla_WMA,77,78,196
4938,Sansavilla_WMA,78,79,215
4939,Sansavilla_WMA,79,80,284
4940,Sansavilla_WMA,80,81,443
4941,Sansavilla_WMA,81,82,507
4942,Sansavilla_WMA,82,83,506
4943,Sansavilla_WMA,83,84,345
4944,Sansavilla_WMA,84,85,73
4945,Sansavilla_WMA,85,86,172
4946,Sansavilla_WMA,86,87,268
4947,Sansavilla_WMA,87,88,250
4948,Sansavilla_WMA,88,89,260
4949,Sansavilla_WMA,89,90,325
4950,Sansavilla_WMA,90,91,438
4951,Sansavilla_WMA,91,92,483
4952,Sansavilla_WMA,92,93,388
4953,Sansavilla_WMA,93,94,311
4954,Sansavilla_WMA,94,95,218
4955,Sansavilla_WMA,95,96,128
4956,Sansavilla_WMA,96,97,142
4957,Sansavilla_WMA,97,98,179
